//ボード,左上,左下,右上,右下,
boards,病院,都市,神社,学校,
//ルール区分,ルール名,役職追加,ルール追加,,
Y,ロストハート,エージェント+クロマク,【強制：常時】元々の役職がパーソンであるキャラクターは[暗躍カウンター]、[友好カウンター]、[不安カウンター]のすべてが１つ以上置かれている限り、友好暴発とマリオネットに記載された追加能力を得る。,,
Y,影の国の魔王,トワイライト,,,
Y,悪魔の意思,エージェント+インベーダー+ハイド,,,
Y,平行世界間戦争,エージェント,【敗北条件：ループ終了時】このループ中に「世界収束」が発生していない場合、主人公は敗北する。\n【強制：脚本作成時】エージェントは１つの「世界収束」の犯人となる。,,
Y,異界の侵食,クロマク+インベーダー,【敗北条件：ループ終了時】表世界にいて、かつボードXに暗躍カウンターが２つ以上置かれている。ボードXはクロマクの初期エリアに等しい。\n【敗北条件：ループ終了時】裏世界にいて、かつボードYに[暗躍カウンター]が２つ以上置かれている。ボードYはインベーダーの初期エリアに等しい。,,
X,ドールハウスの世界,ゴシップ,【強制：常時】本来の役職がパーソンであるすべてのキャラクターは友好暴発を得る。,,
X,自我の波,アニムス+アジテーター,,,
X,閉ざされた扉,ゴシップ+アジテーター,【任意：ターン開始フェイズ】リーダーであるプレイヤーが世界移動を行うと宣言したとき、それを拒否してもよい,,
（１ループ１回制限）,,,,,
X,因果の糸,,【強制：ループ開始時】ひとつ前のループ終了時に[友好カウンター]が置かれていたキャラクター全員に[友好カウンター]を２つ置く。,,
X,ムーンサイドシティ,ゴシップ+ノイローゼ,【強制：常時】[暗躍カウンター]が都市に２つ以上→このルールによる能力を除き、世界移動は禁止される。\n【強制：都市に[暗躍カウンター]が２つ以上置かれた時】裏世界へと移るように世界移動を行う。,,
X,狂信者の贄,ファナティック+アニムス,【敗北条件：ループ終了時】ファナティックから見た自身以外の同性が３人以上死亡している。,,
X,誘うもの,ユウワクシャ,,,
//role,役職名,人数上限,友好無視,追加能力,逆引きルール
role,パーソン,,,,
role,エージェント,,,【強制：このキャラクターの死亡時】このキャラクターが死亡した時、主人公は敗北し、直ちにこのループを終了させる。\n【強制：このキャラクターの友好能力解決後】同一エリアにある[暗躍カウンター]１つを選び、置かれていたボードやカードから取り除く,ロストハート（Y)+悪魔の意思（Y)+並行世界間戦争（Y)
role,クロマク,,友好無視,【任意能力：脚本家フェイズ】このキャラクターと同一エリアにいるキャラクターか、このキャラクターのいるボードに[暗躍カウンター]を１つ置いてもよい,ロストハート（Y)+異界の侵食（Y）
role,インベーダー,,友好無視,【任意能力：脚本家能力フェイズ】このキャラクターのいるボードに[暗躍カウンター]が２つ以上→世界移動を行う。,悪魔の意思（Y)+異界の侵食（Y)
role,トワイライト,,友好無視+友好暴発,【強制：常時】このキャラクターは死亡しない。\n【強制：常時】元々の役職がパーソンであるキャラクターは、このキャラクターと同一エリアにいる限り、役職がシャドウに変更される。,影の国の魔王（Y)
role,ハイド,,表裏選択+絶対友好無視,【敗北条件：ループ終了時】このキャラクターに１つ以上の[暗躍カウンター]が置かれている。,悪魔の意思(Y)
role,ゴシップ,,,【任意能力：脚本家能力フェイズ】このキャラクターと同一のエリアにいるキャラクター１人に[友好カウンター]を１つ置いてもよい。,ドールハウスの世界（X)+閉ざされた扉(X)+ムーンサイドシティ(X)
role,ファナティック,,友好暴発,【強制：このキャラクターの友好能力解決後】このキャラクターと同一のエリアにいるキャラクター１人を選び、死亡させる。,狂信者の贄(X)
role,アニムス,,表裏選択,【強制：常時】このカードの性別は反転する。（属性の少女と少年、女性と男性が入れ替わる）\n【強制：事件フェイズ】このキャラクターが犯人の事件は必ず発生する。この事件の発生時に脚本家は「アニムスの能力が使われた」と宣言する。,自我の波(X)+狂信者の贄(X)
role,ノイローゼ,,絶対友好無視,【強制：事件フェイズ】このキャラクターが犯人の事件の発生を判定する時、このキャラクターの不安臨界を1少ないものとして判定する。,ムーンサイドシティ(X)
role,アジテーター,,,【任意能力：事件の解決後】このキャラクターと同一エリアのキャラクター1人に[友好カウンター]、[不安カウンター]、[暗躍カウンター]のいずれかを1つ置く。,自我の波(X)+閉ざされた扉(X)
role,ユウワクシャ,,友好暴発,【任意能力：このキャラクターの友好能力解決後】脚本家は「ユウワクシャの能力が使われた」と宣言してもよい。そうした場合、次の日のリーダーによる世界移動と行動カードのセットを禁止する。,誘うもの(X)
role,マリオネット,,友好暴発,【任意能力：このキャラクターの友好能力解決後】この日のターン終了フェイズに主人公は死亡する,
role,シャドウ,,友好無視,【任意能力：このキャラクターの事件発生後】この日のターン終了フェイズに主人公は死亡する。,影の国の魔王(Y:変則)
